title,content,author_name,category,era,source_info,status
Thơ duyên,"Chiều mộng hoà thơ trên nhánh duyên,
Cây me ríu rít cặp chim chuyền.
Đổ trời xanh ngọc qua muôn lá,
Thu đến nơi nơi động tiếng huyền.",Xuân Diệu,Thơ mới,Hiện đại,Thơ thơ (1938),published
Tràng giang,"Sóng gợn tràng giang buồn điệp điệp,
Con thuyền xuôi mái nước song song.
Thuyền về nước lại, sầu trăm ngả;
Củi một cành khô lạc mấy dòng.",Huy Cận,Thơ mới,Hiện đại,Lửa thiêng (1940),published
Đây thôn Vĩ Dạ,"Sao anh không về chơi thôn Vĩ?
Nhìn nắng hàng cau nắng mới lên.
Vườn ai mướt quá, xanh như ngọc
Lá trúc che ngang mặt chữ điền.",Hàn Mặc Tử,Thơ mới,Hiện đại,Đau thương (1938),published
Tây Tiến,"Sông Mã xa rồi Tây Tiến ơi!
Nhớ về rừng núi nhớ chơi vơi.
Sài Khao sương lấp đoàn quân mỏi,
Mường Lát hoa về trong đêm hơi.",Quang Dũng,Thơ tự do,Hiện đại,Mây đầu ô (1986),published
Tiếng hát con tàu,"Tây Bắc có gì qua đó em?
Hợp đàn, hợp bạn, thắt bùa duyên
Tây Bắc gọi ta, tàu đã chạy
Tàu không khói, nhưng lòng ta khói dậy.",Chế Lan Viên,Thơ tự do,Hiện đại,Ánh sáng và phù sa (1960),published
Sóng,"Dữ dội và dịu êm
Ồn ào và lặng lẽ
Sông không hiểu nổi mình
Sóng tìm ra tận bể",Xuân Quỳnh,Thơ năm chữ,Hiện đại,Hoa dọc chiến hào (1968),published
Viếng lăng Bác,"Con ở miền Nam ra thăm lăng Bác
Đã thấy trong sương hàng tre bát ngát
Ôi! Hàng tre xanh xanh Việt Nam
Bão táp mưa sa, đứng thẳng hàng.",Viễn Phương,Thơ tự do,Hiện đại,Như mây mùa xuân (1978),published
Bếp lửa,"Một bếp lửa chờn vờn sương sớm
Một bếp lửa ấp iu nồng đượm
Cháu thương bà biết mấy nắng mưa.
Lên bốn tuổi cháu đã quen mùi khói",Bằng Việt,Thơ tự do,Hiện đại,Hương cây - Bếp lửa (1968),published
Quê hương,"Chim bay dọc biển đem tin cá
Làng tôi ở vốn làm nghề chài lưới:
Nước bao vây, cách biển nửa ngày sông.
Khi trời trong, gió nhẹ, sớm mai hồng",Tế Hanh,Thơ tự do,Hiện đại,Nghẹn ngào (1939),published
Tiểu đội xe không kính,"Không có kính không phải vì xe không có kính
Bom giật, bom rung kính vỡ đi rồi
Ung dung buồng lái ta ngồi,
Nhìn đất, nhìn trời, nhìn thẳng.",Phạm Tiến Duật,Thơ tự do,Hiện đại,Vầng trăng quầng lửa (1970),published
